id,label,session_type,start_ts,end_ts
1,resting,fast,1787109113.923551,1787109157.3889189
2,resting,fast,1787109157.3889189,1787109157.6550384
3,resting,fast,1787109157.6550384,1787109157.8546007
4,resting,fast,1787109157.8546007,1787109158.0541608
5,resting,fast,1787109158.0541608,1787109158.8163838
6,resting,fast,1787109158.8163838,1787109159.0166926
7,resting,fast,1787109159.0166926,1787109159.2156317
8,resting,fast,1787109159.2156317,1787109159.347918
9,resting,fast,1787109159.347918,1787109160.110584
10,resting,fast,1787109160.110584,1787109160.8207498
