ts,label,session_type,experiment_start_ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1787160828.947453,resting,fast,1787160828.768152,21699.0,20676.0,20171.0,20853.0,21523.0,20943.0,20131.0,20218.0,20170.0,20178.0,20644.0,21007.0,20173.0,21347.0,21490.0,20119.0
1787160828.9500358,resting,fast,1787160828.768152,21696.5,20677.5,20172.0,20852.5,21522.5,20942.0,20135.0,20224.0,20167.5,20176.0,20642.5,21014.0,20170.5,21343.0,21490.0,20121.5
1787160828.951287,resting,fast,1787160828.768152,21693.666666666668,20677.0,20175.0,20851.666666666668,21518.333333333332,20941.333333333332,20135.0,20225.0,20167.333333333332,20177.666666666668,20641.666666666668,21015.666666666668,20169.333333333332,21347.666666666668,21492.0,20124.666666666668
1787160828.9522567,resting,fast,1787160828.768152,21692.666666666668,20677.333333333332,20177.0,20850.666666666668,21518.0,20941.666666666668,20136.0,20229.333333333332,20166.0,20177.666666666668,20638.333333333332,21020.0,20168.333333333332,21348.333333333332,21492.0,20127.0
1787160828.9565346,resting,fast,1787160828.768152,21693.333333333332,20672.333333333332,20176.666666666668,20849.0,21514.666666666668,20941.333333333332,20132.333333333332,20227.666666666668,20163.333333333332,20178.0,20637.666666666668,21017.666666666668,20162.666666666668,21349.666666666668,21490.333333333332,20125.333333333332
1787160828.9598508,resting,fast,1787160828.768152,21692.333333333332,20669.0,20170.666666666668,20848.333333333332,21515.666666666668,20936.0,20128.0,20227.333333333332,20160.666666666668,20169.333333333332,20635.666666666668,21016.0,20161.333333333332,21338.333333333332,21485.666666666668,20122.0
1787160828.9618723,resting,fast,1787160828.768152,21687.333333333332,20665.0,20170.333333333332,20846.333333333332,21512.666666666668,20933.0,20127.666666666668,20223.666666666668,20155.666666666668,20166.666666666668,20638.0,21011.666666666668,20154.666666666668,21335.333333333332,21484.0,20117.333333333332
1787160828.962735,resting,fast,1787160828.768152,21685.0,20665.0,20170.666666666668,20845.333333333332,21513.0,20931.666666666668,20128.666666666668,20223.0,20154.666666666668,20166.666666666668,20639.0,21011.0,20155.666666666668,21337.666666666668,21484.666666666668,20118.333333333332
1787160828.9636006,resting,fast,1787160828.768152,21688.0,20668.666666666668,20175.333333333332,20846.666666666668,21514.0,20937.0,20132.0,20223.666666666668,20156.666666666668,20174.666666666668,20642.0,21013.666666666668,20155.666666666668,21344.0,21486.666666666668,20120.333333333332
1787160828.9644177,resting,fast,1787160828.768152,21691.0,20672.666666666668,20176.0,20846.333333333332,21513.0,20938.333333333332,20131.333333333332,20225.666666666668,20160.333333333332,20177.666666666668,20641.666666666668,21016.0,20161.333333333332,21346.333333333332,21486.333333333332,20122.0
1787160828.9652293,resting,fast,1787160828.768152,21684.666666666668,20668.0,20175.666666666668,20844.666666666668,21506.0,20933.666666666668,20130.0,20226.0,20156.333333333332,20173.0,20637.0,21015.333333333332,20158.0,21343.0,21481.666666666668,20121.333333333332
1787160828.9660168,resting,fast,1787160828.768152,21672.666666666668,20657.0,20168.0,20843.333333333332,21495.333333333332,20922.333333333332,20125.0,20224.666666666668,20145.333333333332,20163.666666666668,20632.333333333332,21011.666666666668,20149.0,21338.0,21478.0,20117.0
1787160828.9717512,resting,fast,1787160828.768152,21672.666666666668,20653.666666666668,20166.333333333332,20843.333333333332,21495.333333333332,20920.666666666668,20125.333333333332,20224.333333333332,20143.0,20161.0,20630.666666666668,21011.666666666668,20148.0,21337.0,21477.666666666668,20118.0
1787160828.983118,resting,fast,1787160828.768152,21676.333333333332,20660.333333333332,20170.333333333332,20846.0,21503.333333333332,20926.333333333332,20128.0,20226.333333333332,20150.666666666668,20166.0,20633.666666666668,21014.333333333332,20154.333333333332,21338.666666666668,21484.333333333332,20121.0
1787160828.9939044,resting,fast,1787160828.768152,21688.333333333332,20669.333333333332,20176.666666666668,20843.333333333332,21515.0,20936.666666666668,20132.0,20225.333333333332,20161.666666666668,20174.333333333332,20638.666666666668,21012.666666666668,20163.333333333332,21343.666666666668,21487.333333333332,20122.0
1787160829.005036,resting,fast,1787160828.768152,21692.0,20674.333333333332,20180.0,20848.0,21519.0,20941.0,20133.666666666668,20227.333333333332,20164.666666666668,20178.333333333332,20644.0,21014.666666666668,20164.666666666668,21347.333333333332,21490.0,20124.333333333332
1787160829.0161493,resting,fast,1787160828.768152,21697.666666666668,20677.666666666668,20178.0,20850.0,21521.0,20944.0,20134.0,20229.0,20165.666666666668,20180.0,20646.666666666668,21015.0,20165.666666666668,21351.0,21491.333333333332,20125.666666666668
